,ds,y
680,2019-11-12,28087.72
681,2019-11-13,28095.18
682,2019-11-14,28102.65
683,2019-11-15,28110.11
684,2019-11-16,28117.58
685,2019-11-17,28125.05
686,2019-11-18,28132.52
687,2019-11-19,28139.99
688,2019-11-20,28147.47
689,2019-11-21,28154.94
690,2019-11-22,28162.42
691,2019-11-23,28169.9
692,2019-11-24,28177.39
693,2019-11-25,28184.87
694,2019-11-26,28192.36
695,2019-11-27,28199.85
696,2019-11-28,28207.34
697,2019-11-29,28214.83
698,2019-11-30,28222.33
699,2019-12-01,28229.83
700,2019-12-02,28237.32
701,2019-12-03,28244.83
702,2019-12-04,28252.33
703,2019-12-05,28259.83
704,2019-12-06,28267.34
705,2019-12-07,28274.85
706,2019-12-08,28282.36
707,2019-12-09,28289.87
708,2019-12-10,28290.78
709,2019-12-11,28291.69
710,2019-12-12,28292.61
711,2019-12-13,28293.52
712,2019-12-14,28294.43
713,2019-12-15,28295.34
714,2019-12-16,28296.26
715,2019-12-17,28297.17
716,2019-12-18,28298.08
717,2019-12-19,28298.99
718,2019-12-20,28299.91
719,2019-12-21,28300.82
720,2019-12-22,28301.73
721,2019-12-23,28302.64
722,2019-12-24,28303.56
723,2019-12-25,28304.47
724,2019-12-26,28305.38
725,2019-12-27,28306.29
726,2019-12-28,28307.21
727,2019-12-29,28308.12
728,2019-12-30,28309.03
729,2019-12-31,28309.94
730,2020-01-01,28310.86
731,2020-01-02,28311.77
732,2020-01-03,28312.68
733,2020-01-04,28313.6
734,2020-01-05,28314.51
735,2020-01-06,28315.42
736,2020-01-07,28316.33
737,2020-01-08,28317.25
738,2020-01-09,28318.16
739,2020-01-10,28319.07
740,2020-01-11,28319.99
741,2020-01-12,28320.9
742,2020-01-13,28321.81
743,2020-01-14,28322.73
744,2020-01-15,28323.64
745,2020-01-16,28324.55
746,2020-01-17,28325.47
747,2020-01-18,28326.38
748,2020-01-19,28327.29
749,2020-01-20,28328.21
750,2020-01-21,28329.12
751,2020-01-22,28330.03
752,2020-01-23,28330.95
753,2020-01-24,28331.86
754,2020-01-25,28332.77
755,2020-01-26,28333.69
756,2020-01-27,28334.6
757,2020-01-28,28335.51
758,2020-01-29,28336.43
759,2020-01-30,28337.34
760,2020-01-31,28338.25
761,2020-02-01,28339.17
762,2020-02-02,28340.08
763,2020-02-03,28341.0
764,2020-02-04,28341.91
765,2020-02-05,28342.82
766,2020-02-06,28343.74
767,2020-02-07,28344.65
768,2020-02-08,28345.56
769,2020-02-09,28346.48
770,2020-02-10,28352.33
771,2020-02-11,28358.18
772,2020-02-12,28364.03
773,2020-02-13,28369.88
774,2020-02-14,28375.73
775,2020-02-15,28381.59
776,2020-02-16,28387.44
777,2020-02-17,28393.3
778,2020-02-18,28399.15
779,2020-02-19,28405.01
780,2020-02-20,28410.87
781,2020-02-21,28416.73
782,2020-02-22,28422.6
783,2020-02-23,28428.46
784,2020-02-24,28434.32
785,2020-02-25,28440.19
786,2020-02-26,28446.06
787,2020-02-27,28451.93
788,2020-02-28,28457.8
789,2020-02-29,28463.67
790,2020-03-01,28469.54
791,2020-03-02,28475.41
792,2020-03-03,28481.29
793,2020-03-04,28487.16
794,2020-03-05,28493.04
795,2020-03-06,28498.92
796,2020-03-07,28504.8
797,2020-03-08,28510.68
798,2020-03-09,28516.56
799,2020-03-10,28520.23
800,2020-03-11,28523.91
801,2020-03-12,28527.58
802,2020-03-13,28531.25
803,2020-03-14,28534.93
804,2020-03-15,28538.6
805,2020-03-16,28542.28
806,2020-03-17,28545.95
807,2020-03-18,28549.63
808,2020-03-19,28553.31
809,2020-03-20,28556.98
810,2020-03-21,28560.66
811,2020-03-22,28564.34
812,2020-03-23,28568.02
813,2020-03-24,28571.7
814,2020-03-25,28575.38
815,2020-03-26,28579.06
816,2020-03-27,28582.74
817,2020-03-28,28586.42
818,2020-03-29,28590.1
819,2020-03-30,28593.78
820,2020-03-31,28597.46
821,2020-04-01,28601.15
822,2020-04-02,28604.83
823,2020-04-03,28608.51
824,2020-04-04,28612.2
825,2020-04-05,28615.88
826,2020-04-06,28619.57
827,2020-04-07,28623.25
828,2020-04-08,28626.94
829,2020-04-09,28630.63
830,2020-04-10,28633.49
831,2020-04-11,28636.35
832,2020-04-12,28639.21
833,2020-04-13,28642.07
834,2020-04-14,28644.93
835,2020-04-15,28647.79
836,2020-04-16,28650.65
837,2020-04-17,28653.51
838,2020-04-18,28656.37
839,2020-04-19,28659.23
840,2020-04-20,28662.09
841,2020-04-21,28664.96
842,2020-04-22,28667.82
843,2020-04-23,28670.68
844,2020-04-24,28673.54
845,2020-04-25,28676.41
846,2020-04-26,28679.27
847,2020-04-27,28682.13
848,2020-04-28,28685.0
849,2020-04-29,28687.86
850,2020-04-30,28690.73
851,2020-05-01,28693.59
852,2020-05-02,28696.46
853,2020-05-03,28699.32
854,2020-05-04,28702.19
855,2020-05-05,28705.05
856,2020-05-06,28707.92
857,2020-05-07,28710.79
858,2020-05-08,28713.65
859,2020-05-09,28716.52
860,2020-05-10,28716.52
861,2020-05-11,28716.52
862,2020-05-12,28716.52
863,2020-05-13,28716.52
864,2020-05-14,28716.52
865,2020-05-15,28716.52
866,2020-05-16,28716.52
867,2020-05-17,28716.52
868,2020-05-18,28716.52
869,2020-05-19,28716.52
870,2020-05-20,28716.52
871,2020-05-21,28716.52
872,2020-05-22,28716.52
873,2020-05-23,28716.52
874,2020-05-24,28716.52
875,2020-05-25,28716.52
876,2020-05-26,28716.52
877,2020-05-27,28716.52
878,2020-05-28,28716.52
879,2020-05-29,28716.52
880,2020-05-30,28716.52
881,2020-05-31,28716.52
882,2020-06-01,28716.52
883,2020-06-02,28716.52
884,2020-06-03,28716.52
885,2020-06-04,28716.52
886,2020-06-05,28716.52
887,2020-06-06,28716.52
888,2020-06-07,28716.52
889,2020-06-08,28716.52
890,2020-06-09,28716.52
891,2020-06-10,28715.56
892,2020-06-11,28714.6
893,2020-06-12,28713.65
894,2020-06-13,28712.69
895,2020-06-14,28711.73
896,2020-06-15,28710.77
897,2020-06-16,28709.82
898,2020-06-17,28708.86
899,2020-06-18,28707.9
900,2020-06-19,28706.94
901,2020-06-20,28705.99
902,2020-06-21,28705.03
903,2020-06-22,28704.07
904,2020-06-23,28703.12
905,2020-06-24,28702.16
906,2020-06-25,28701.2
907,2020-06-26,28700.24
908,2020-06-27,28699.29
909,2020-06-28,28698.33
910,2020-06-29,28697.37
911,2020-06-30,28696.42
912,2020-07-01,28695.46
913,2020-07-02,28694.5
914,2020-07-03,28693.54
915,2020-07-04,28692.59
916,2020-07-05,28691.63
917,2020-07-06,28690.67
918,2020-07-07,28689.72
919,2020-07-08,28688.76
920,2020-07-09,28687.8
921,2020-07-10,28686.87
922,2020-07-11,28685.95
923,2020-07-12,28685.02
924,2020-07-13,28684.1
925,2020-07-14,28683.17
926,2020-07-15,28682.25
927,2020-07-16,28681.32
928,2020-07-17,28680.39
929,2020-07-18,28679.47
930,2020-07-19,28678.54
931,2020-07-20,28677.62
932,2020-07-21,28676.69
933,2020-07-22,28675.77
934,2020-07-23,28674.84
935,2020-07-24,28673.92
936,2020-07-25,28672.99
937,2020-07-26,28672.06
938,2020-07-27,28671.14
939,2020-07-28,28670.21
